gpID,gName,circuitID#,gDate,gLaps,gRank
73,Portuguese Grand Prix,,1958-08-24 00:00:00,50,9
74,Italian Grand Prix,,1958-09-07 00:00:00,70,10
75,Moroccan Grand Prix,,1958-10-19 00:00:00,53,11
76,Monaco Grand Prix,,1959-05-10 00:00:00,100,1
77,Indianapolis 500,,1959-05-30 00:00:00,200,2
78,Dutch Grand Prix,,1959-05-31 00:00:00,75,3
79,French Grand Prix,,1959-07-05 00:00:00,50,4
80,British Grand Prix,,1959-07-18 00:00:00,75,5
81,German Grand Prix,,1959-08-02 00:00:00,2,6
82,Portuguese Grand Prix,,1959-08-23 00:00:00,62,7
83,Italian Grand Prix,,1959-09-13 00:00:00,72,8
84,United States Grand Prix,,1959-12-12 00:00:00,42,9
85,Argentine Grand Prix,,1960-02-07 00:00:00,80,1
86,Monaco Grand Prix,,1960-05-29 00:00:00,100,2
87,Indianapolis 500,,1960-05-30 00:00:00,200,3
88,Dutch Grand Prix,,1960-06-06 00:00:00,75,4
89,Belgian Grand Prix,,1960-06-19 00:00:00,36,5
90,French Grand Prix,,1960-07-03 00:00:00,50,6
91,British Grand Prix,,1960-07-16 00:00:00,77,7
92,Portuguese Grand Prix,,1960-08-14 00:00:00,55,8
93,Italian Grand Prix,,1960-09-04 00:00:00,50,9
94,United States Grand Prix,,1960-11-20 00:00:00,75,10
95,Monaco Grand Prix,,1961-05-14 00:00:00,100,1
96,Dutch Grand Prix,,1961-05-22 00:00:00,75,2
97,Belgian Grand Prix,,1961-06-18 00:00:00,30,3
98,French Grand Prix,,1961-07-02 00:00:00,52,4
99,British Grand Prix,,1961-07-15 00:00:00,75,5
100,German Grand Prix,,1961-08-06 00:00:00,15,6
101,Italian Grand Prix,,1961-09-10 00:00:00,43,7
102,United States Grand Prix,,1961-10-08 00:00:00,100,8
103,Dutch Grand Prix,,1962-05-20 00:00:00,80,1
104,Monaco Grand Prix,,1962-06-03 00:00:00,100,2
105,Belgian Grand Prix,,1962-06-17 00:00:00,32,3
106,French Grand Prix,,1962-07-08 00:00:00,54,4
107,British Grand Prix,,1962-07-21 00:00:00,75,5
108,German Grand Prix,,1962-08-05 00:00:00,15,6
109,Italian Grand Prix,,1962-09-16 00:00:00,86,7
110,United States Grand Prix,,1962-10-07 00:00:00,100,8
111,South African Grand Prix,,1962-12-29 00:00:00,82,9
112,Monaco Grand Prix,,1963-05-26 00:00:00,100,1
113,Belgian Grand Prix,,1963-06-09 00:00:00,32,2
114,Dutch Grand Prix,,1963-06-23 00:00:00,80,3
115,French Grand Prix,,1963-06-30 00:00:00,53,4
116,British Grand Prix,,1963-07-20 00:00:00,82,5
117,German Grand Prix,,1963-08-04 00:00:00,15,6
118,Italian Grand Prix,,1963-09-08 00:00:00,86,7
119,United States Grand Prix,,1963-10-06 00:00:00,110,8
120,Mexican Grand Prix,,1963-10-27 00:00:00,65,9
121,South African Grand Prix,,1963-12-28 00:00:00,85,10
122,Monaco Grand Prix,,1964-05-10 00:00:00,100,1
123,Dutch Grand Prix,,1964-05-24 00:00:00,80,2
124,Belgian Grand Prix,,1964-06-14 00:00:00,32,3
125,French Grand Prix,,1964-06-28 00:00:00,57,4
126,British Grand Prix,,1964-07-11 00:00:00,80,5
127,German Grand Prix,,1964-08-02 00:00:00,15,6
128,Austrian Grand Prix,,1964-08-23 00:00:00,105,7
129,Italian Grand Prix,,1964-09-06 00:00:00,78,8
130,United States Grand Prix,,1964-10-04 00:00:00,110,9
131,Mexican Grand Prix,,1964-10-25 00:00:00,65,10
132,South African Grand Prix,,1965-01-01 00:00:00,85,1
133,Monaco Grand Prix,,1965-05-30 00:00:00,100,2
134,Belgian Grand Prix,,1965-06-13 00:00:00,32,3
135,French Grand Prix,,1965-06-27 00:00:00,40,4
136,British Grand Prix,,1965-07-10 00:00:00,80,5
137,Dutch Grand Prix,,1965-07-18 00:00:00,80,6
138,German Grand Prix,,1965-08-01 00:00:00,15,7
139,Italian Grand Prix,,1965-09-12 00:00:00,76,8
140,United States Grand Prix,,1965-10-03 00:00:00,110,9
141,Mexican Grand Prix,,1965-10-24 00:00:00,65,10
142,Monaco Grand Prix,,1966-05-22 00:00:00,100,1
143,Belgian Grand Prix,,1966-06-12 00:00:00,28,2
144,French Grand Prix,,1966-07-03 00:00:00,48,3
145,British Grand Prix,,1966-07-16 00:00:00,80,4
146,Dutch Grand Prix,,1966-07-24 00:00:00,90,5
147,German Grand Prix,,1966-08-07 00:00:00,15,6
148,Italian Grand Prix,,1966-09-04 00:00:00,68,7
149,United States Grand Prix,,1966-10-02 00:00:00,108,8
150,Mexican Grand Prix,,1966-10-23 00:00:00,65,9
151,South African Grand Prix,,1967-01-02 00:00:00,80,1
152,Monaco Grand Prix,,1967-05-07 00:00:00,100,2
153,Dutch Grand Prix,,1967-06-04 00:00:00,90,3
154,Belgian Grand Prix,,1967-06-18 00:00:00,28,4
155,French Grand Prix,,1967-07-02 00:00:00,80,5
156,British Grand Prix,,1967-07-15 00:00:00,80,6
157,German Grand Prix,,1967-08-06 00:00:00,15,7
158,Canadian Grand Prix,,1967-08-27 00:00:00,90,8
159,Italian Grand Prix,,1967-09-10 00:00:00,68,9
160,United States Grand Prix,,1967-10-01 00:00:00,108,10
161,Mexican Grand Prix,,1967-10-22 00:00:00,65,11
162,South African Grand Prix,,1968-01-01 00:00:00,80,1
163,Spanish Grand Prix,,1968-05-12 00:00:00,90,2
164,Monaco Grand Prix,,1968-05-26 00:00:00,80,3
165,Belgian Grand Prix,,1968-06-09 00:00:00,28,4
166,Dutch Grand Prix,,1968-06-23 00:00:00,90,5
167,French Grand Prix,,1968-07-07 00:00:00,60,6
168,British Grand Prix,,1968-07-20 00:00:00,80,7
169,German Grand Prix,,1968-08-04 00:00:00,14,8
170,Italian Grand Prix,,1968-09-08 00:00:00,68,9
171,Canadian Grand Prix,,1968-09-22 00:00:00,90,10
172,United States Grand Prix,,1968-10-06 00:00:00,108,11
173,Mexican Grand Prix,,1968-11-03 00:00:00,65,12
174,South African Grand Prix,,1969-03-01 00:00:00,80,1
175,Spanish Grand Prix,,1969-05-04 00:00:00,90,2
176,Monaco Grand Prix,,1969-05-18 00:00:00,80,3
177,Dutch Grand Prix,,1969-06-21 00:00:00,90,4
178,French Grand Prix,,1969-07-06 00:00:00,38,5
179,British Grand Prix,,1969-07-19 00:00:00,84,6
180,German Grand Prix,,1969-08-03 00:00:00,14,7
181,Italian Grand Prix,,1969-09-07 00:00:00,68,8
182,Canadian Grand Prix,,1969-09-20 00:00:00,90,9
183,United States Grand Prix,,1969-10-05 00:00:00,108,10
184,Mexican Grand Prix,,1969-10-19 00:00:00,65,11
185,South African Grand Prix,,1970-03-07 00:00:00,80,1
186,Spanish Grand Prix,,1970-04-19 00:00:00,90,2
187,Monaco Grand Prix,,1970-05-10 00:00:00,80,3
188,Belgian Grand Prix,,1970-06-07 00:00:00,28,4
189,Dutch Grand Prix,,1970-06-21 00:00:00,90,5
190,French Grand Prix,,1970-07-05 00:00:00,38,6
191,British Grand Prix,,1970-07-18 00:00:00,80,7
192,German Grand Prix,,1970-08-02 00:00:00,50,8
193,Austrian Grand Prix,,1970-08-16 00:00:00,60,9
194,Italian Grand Prix,,1970-09-06 00:00:00,68,10
195,Canadian Grand Prix,,1970-09-20 00:00:00,90,11
196,United States Grand Prix,,1970-10-04 00:00:00,108,12
197,Mexican Grand Prix,,1970-10-25 00:00:00,65,13
198,South African Grand Prix,,1971-03-06 00:00:00,79,1
199,Spanish Grand Prix,,1971-04-18 00:00:00,75,2
200,Monaco Grand Prix,,1971-05-23 00:00:00,80,3
201,Dutch Grand Prix,,1971-06-20 00:00:00,70,4
202,French Grand Prix,,1971-07-04 00:00:00,55,5
203,British Grand Prix,,1971-07-17 00:00:00,68,6
204,German Grand Prix,,1971-08-01 00:00:00,12,7
205,Austrian Grand Prix,,1971-08-15 00:00:00,54,8
206,Italian Grand Prix,,1971-09-05 00:00:00,55,9
207,Canadian Grand Prix,,1971-09-19 00:00:00,64,10
208,United States Grand Prix,,1971-10-03 00:00:00,59,11
209,Argentine Grand Prix,,1972-01-23 00:00:00,95,1
210,South African Grand Prix,,1972-03-04 00:00:00,79,2
211,Spanish Grand Prix,,1972-05-01 00:00:00,90,3
212,Monaco Grand Prix,,1972-05-14 00:00:00,80,4
213,Belgian Grand Prix,,1972-06-04 00:00:00,80,5
214,French Grand Prix,,1972-07-02 00:00:00,80,6
215,British Grand Prix,,1972-07-15 00:00:00,80,7
216,German Grand Prix,,1972-07-30 00:00:00,14,8
217,Austrian Grand Prix,,1972-08-13 00:00:00,54,9
218,Italian Grand Prix,,1972-09-10 00:00:00,54,10
219,Canadian Grand Prix,,1972-09-24 00:00:00,54,11
220,United States Grand Prix,,1972-10-08 00:00:00,54,12
221,Argentine Grand Prix,,1973-01-28 00:00:00,96,1
222,Brazilian Grand Prix,,1973-02-11 00:00:00,96,2
223,South African Grand Prix,,1973-03-03 00:00:00,96,3
224,Spanish Grand Prix,,1973-04-29 00:00:00,75,4
225,Belgian Grand Prix,,1973-05-20 00:00:00,75,5
226,Monaco Grand Prix,,1973-06-03 00:00:00,75,6
227,Swedish Grand Prix,,1973-06-17 00:00:00,80,7
228,French Grand Prix,,1973-07-01 00:00:00,80,8
229,British Grand Prix,,1973-07-14 00:00:00,80,9
230,Dutch Grand Prix,,1973-07-29 00:00:00,80,10
231,German Grand Prix,,1973-08-05 00:00:00,14,11
232,Austrian Grand Prix,,1973-08-19 00:00:00,14,12
233,Italian Grand Prix,,1973-09-09 00:00:00,14,13
234,Canadian Grand Prix,,1973-09-23 00:00:00,14,14
235,United States Grand Prix,,1973-10-07 00:00:00,59,15
236,Argentine Grand Prix,,1974-01-13 00:00:00,59,1
237,Brazilian Grand Prix,,1974-01-27 00:00:00,32,2
238,South African Grand Prix,,1974-03-30 00:00:00,32,3
239,Spanish Grand Prix,,1974-04-28 00:00:00,32,4
240,Belgian Grand Prix,,1974-05-12 00:00:00,32,5
241,Monaco Grand Prix,,1974-05-26 00:00:00,32,6
242,Swedish Grand Prix,,1974-06-09 00:00:00,32,7
243,Dutch Grand Prix,,1974-06-23 00:00:00,32,8
244,French Grand Prix,,1974-07-07 00:00:00,80,9
245,British Grand Prix,,1974-07-20 00:00:00,80,10
246,German Grand Prix,,1974-08-04 00:00:00,80,11
247,Austrian Grand Prix,,1974-08-18 00:00:00,80,12
248,Italian Grand Prix,,1974-09-08 00:00:00,52,13
249,Canadian Grand Prix,,1974-09-22 00:00:00,80,14
250,United States Grand Prix,,1974-10-06 00:00:00,80,15
251,Argentine Grand Prix,,1975-01-12 00:00:00,53,1
252,Brazilian Grand Prix,,1975-01-26 00:00:00,40,2
253,South African Grand Prix,,1975-03-01 00:00:00,78,3
254,Spanish Grand Prix,,1975-04-27 00:00:00,29,4
255,Monaco Grand Prix,,1975-05-11 00:00:00,75,5
256,Belgian Grand Prix,,1975-05-25 00:00:00,70,6
257,Swedish Grand Prix,,1975-06-08 00:00:00,80,7
258,Dutch Grand Prix,,1975-06-22 00:00:00,80,8
259,French Grand Prix,,1975-07-06 00:00:00,54,9
260,British Grand Prix,,1975-07-19 00:00:00,56,10
261,German Grand Prix,,1975-08-03 00:00:00,56,11
262,Austrian Grand Prix,,1975-08-17 00:00:00,56,12
263,Italian Grand Prix,,1975-09-07 00:00:00,52,13
264,United States Grand Prix,,1975-10-05 00:00:00,52,14
265,Brazilian Grand Prix,,1976-01-25 00:00:00,40,1
266,South African Grand Prix,,1976-03-06 00:00:00,40,2
267,United States Grand Prix West,,1976-03-28 00:00:00,40,3
268,Spanish Grand Prix,,1976-05-02 00:00:00,40,4
269,Belgian Grand Prix,,1976-05-16 00:00:00,70,5
270,Monaco Grand Prix,,1976-05-30 00:00:00,78,6
271,Swedish Grand Prix,,1976-06-13 00:00:00,78,7
272,French Grand Prix,,1976-07-04 00:00:00,78,8
273,British Grand Prix,,1976-07-18 00:00:00,78,9
274,German Grand Prix,,1976-08-01 00:00:00,14,10
275,Austrian Grand Prix,,1976-08-15 00:00:00,14,11
276,Dutch Grand Prix,,1976-08-29 00:00:00,14,12
277,Italian Grand Prix,,1976-09-12 00:00:00,14,13
278,Canadian Grand Prix,,1976-10-03 00:00:00,80,14
279,United States Grand Prix,,1976-10-10 00:00:00,80,15
280,Japanese Grand Prix,,1976-10-24 00:00:00,80,16
281,Argentine Grand Prix,,1977-01-09 00:00:00,53,1
282,Brazilian Grand Prix,,1977-01-23 00:00:00,40,2
283,South African Grand Prix,,1977-03-05 00:00:00,40,3
284,United States Grand Prix West,,1977-04-03 00:00:00,40,4
285,Spanish Grand Prix,,1977-05-08 00:00:00,75,5
286,Monaco Grand Prix,,1977-05-22 00:00:00,76,6
287,Belgian Grand Prix,,1977-06-05 00:00:00,76,7
288,Swedish Grand Prix,,1977-06-19 00:00:00,76,8
289,French Grand Prix,,1977-07-03 00:00:00,76,9
290,British Grand Prix,,1977-07-16 00:00:00,68,10
291,German Grand Prix,,1977-07-31 00:00:00,47,11
292,Austrian Grand Prix,,1977-08-14 00:00:00,47,12
293,Dutch Grand Prix,,1977-08-28 00:00:00,47,13
294,Italian Grand Prix,,1977-09-11 00:00:00,52,14
295,United States Grand Prix,,1977-10-02 00:00:00,59,15
296,Canadian Grand Prix,,1977-10-09 00:00:00,59,16
297,Japanese Grand Prix,,1977-10-23 00:00:00,59,17
298,Argentine Grand Prix,,1978-01-15 00:00:00,52,1
299,Brazilian Grand Prix,,1978-01-29 00:00:00,52,2
300,South African Grand Prix,,1978-03-04 00:00:00,52,3
301,United States Grand Prix West,,1978-04-02 00:00:00,52,4
302,Monaco Grand Prix,,1978-05-07 00:00:00,75,5
303,Belgian Grand Prix,,1978-05-21 00:00:00,75,6
304,Spanish Grand Prix,,1978-06-04 00:00:00,75,7
305,Swedish Grand Prix,,1978-06-17 00:00:00,70,8
306,French Grand Prix,,1978-07-02 00:00:00,70,9
307,British Grand Prix,,1978-07-16 00:00:00,70,10
308,German Grand Prix,,1978-07-30 00:00:00,70,11
309,Austrian Grand Prix,,1978-08-13 00:00:00,54,12
310,Dutch Grand Prix,,1978-08-27 00:00:00,54,13
311,Italian Grand Prix,,1978-09-10 00:00:00,40,14
312,United States Grand Prix,,1978-10-01 00:00:00,59,15
313,Canadian Grand Prix,,1978-10-08 00:00:00,70,16
314,Argentine Grand Prix,,1979-01-21 00:00:00,53,1
315,Brazilian Grand Prix,,1979-02-04 00:00:00,40,2
316,South African Grand Prix,,1979-03-03 00:00:00,40,3
317,United States Grand Prix West,,1979-04-08 00:00:00,80,4
318,Spanish Grand Prix,,1979-04-29 00:00:00,75,5
319,Belgian Grand Prix,,1979-05-13 00:00:00,70,6
320,Monaco Grand Prix,,1979-05-27 00:00:00,70,7
321,French Grand Prix,,1979-07-01 00:00:00,70,8
322,British Grand Prix,,1979-07-14 00:00:00,68,9
323,German Grand Prix,,1979-07-29 00:00:00,68,10
324,Austrian Grand Prix,,1979-08-12 00:00:00,54,11
325,Dutch Grand Prix,,1979-08-26 00:00:00,54,12
326,Italian Grand Prix,,1979-09-09 00:00:00,54,13
327,Canadian Grand Prix,,1979-09-30 00:00:00,72,14
328,United States Grand Prix,,1979-10-07 00:00:00,59,15
329,Argentine Grand Prix,,1980-01-13 00:00:00,53,1
330,Brazilian Grand Prix,,1980-01-27 00:00:00,40,2
331,South African Grand Prix,,1980-03-01 00:00:00,40,3
332,United States Grand Prix West,,1980-03-30 00:00:00,40,4
333,Belgian Grand Prix,,1980-05-04 00:00:00,72,5
334,Monaco Grand Prix,,1980-05-18 00:00:00,72,6
335,French Grand Prix,,1980-06-29 00:00:00,72,7
336,British Grand Prix,,1980-07-13 00:00:00,72,8
337,German Grand Prix,,1980-08-10 00:00:00,45,9
338,Austrian Grand Prix,,1980-08-17 00:00:00,54,10
339,Dutch Grand Prix,,1980-08-31 00:00:00,72,11
340,Italian Grand Prix,,1980-09-14 00:00:00,60,12
341,Canadian Grand Prix,,1980-09-28 00:00:00,70,13
342,United States Grand Prix,,1980-10-05 00:00:00,70,14
343,United States Grand Prix West,,1981-03-15 00:00:00,80,1
344,Brazilian Grand Prix,,1981-03-29 00:00:00,80,2
345,Argentine Grand Prix,,1981-04-12 00:00:00,80,3
346,San Marino Grand Prix,,1981-05-03 00:00:00,60,4
347,Belgian Grand Prix,,1981-05-17 00:00:00,54,5
348,Monaco Grand Prix,,1981-05-31 00:00:00,54,6
349,Spanish Grand Prix,,1981-06-21 00:00:00,54,7
350,French Grand Prix,,1981-07-05 00:00:00,54,8
351,British Grand Prix,,1981-07-18 00:00:00,68,9
352,German Grand Prix,,1981-08-02 00:00:00,68,10
353,Austrian Grand Prix,,1981-08-16 00:00:00,68,11
354,Dutch Grand Prix,,1981-08-30 00:00:00,72,12
355,Italian Grand Prix,,1981-09-13 00:00:00,72,13
356,Canadian Grand Prix,,1981-09-27 00:00:00,72,14
357,Caesars Palace Grand Prix,,1981-10-17 00:00:00,72,15
358,South African Grand Prix,,1982-01-23 00:00:00,77,1
359,Brazilian Grand Prix,,1982-03-21 00:00:00,63,2
360,United States Grand Prix West,,1982-04-04 00:00:00,75,3
361,San Marino Grand Prix,,1982-04-25 00:00:00,60,4
362,Belgian Grand Prix,,1982-05-09 00:00:00,70,5
363,Monaco Grand Prix,,1982-05-23 00:00:00,76,6
364,Detroit Grand Prix,,1982-06-06 00:00:00,62,7
365,Canadian Grand Prix,,1982-06-13 00:00:00,62,8
366,Dutch Grand Prix,,1982-07-03 00:00:00,62,9
367,British Grand Prix,,1982-07-18 00:00:00,62,10
368,French Grand Prix,,1982-07-25 00:00:00,54,11
369,German Grand Prix,,1982-08-08 00:00:00,54,12
370,Austrian Grand Prix,,1982-08-15 00:00:00,54,13
371,Swiss Grand Prix,,1982-08-29 00:00:00,54,14
372,Italian Grand Prix,,1982-09-12 00:00:00,52,15
373,Caesars Palace Grand Prix,,1982-09-25 00:00:00,52,16
374,Brazilian Grand Prix,,1983-03-13 00:00:00,63,1
375,United States Grand Prix West,,1983-03-27 00:00:00,75,2
376,French Grand Prix,,1983-04-17 00:00:00,75,3
377,San Marino Grand Prix,,1983-05-01 00:00:00,75,4
378,Monaco Grand Prix,,1983-05-15 00:00:00,75,5
379,Belgian Grand Prix,,1983-05-22 00:00:00,40,6
380,Detroit Grand Prix,,1983-06-05 00:00:00,60,7
381,Canadian Grand Prix,,1983-06-12 00:00:00,70,8
382,British Grand Prix,,1983-07-16 00:00:00,67,9
383,German Grand Prix,,1983-08-07 00:00:00,67,10
384,Austrian Grand Prix,,1983-08-14 00:00:00,67,11
385,Dutch Grand Prix,,1983-08-28 00:00:00,72,12
386,Italian Grand Prix,,1983-09-11 00:00:00,72,13
387,European Grand Prix,,1983-09-25 00:00:00,72,14
388,South African Grand Prix,,1983-10-15 00:00:00,77,15
389,Brazilian Grand Prix,,1984-03-25 00:00:00,77,1
390,South African Grand Prix,,1984-04-07 00:00:00,75,2
391,Belgian Grand Prix,,1984-04-29 00:00:00,75,3
392,San Marino Grand Prix,,1984-05-06 00:00:00,75,4
393,French Grand Prix,,1984-05-20 00:00:00,75,5
394,Monaco Grand Prix,,1984-06-03 00:00:00,31,6
395,Canadian Grand Prix,,1984-06-17 00:00:00,70,7
396,Detroit Grand Prix,,1984-06-24 00:00:00,70,8
397,Dallas Grand Prix,,1984-07-08 00:00:00,70,9
398,British Grand Prix,,1984-07-22 00:00:00,71,10
399,German Grand Prix,,1984-08-05 00:00:00,44,11
400,Austrian Grand Prix,,1984-08-19 00:00:00,51,12
401,Dutch Grand Prix,,1984-08-26 00:00:00,71,13
402,Italian Grand Prix,,1984-09-09 00:00:00,51,14
403,European Grand Prix,,1984-10-07 00:00:00,51,15
404,Portuguese Grand Prix,,1984-10-21 00:00:00,51,16
405,Brazilian Grand Prix,,1985-04-07 00:00:00,61,1
406,Portuguese Grand Prix,,1985-04-21 00:00:00,67,2
407,San Marino Grand Prix,,1985-05-05 00:00:00,60,3
408,Monaco Grand Prix,,1985-05-19 00:00:00,60,4
409,Canadian Grand Prix,,1985-06-16 00:00:00,60,5
410,Detroit Grand Prix,,1985-06-23 00:00:00,63,6
411,French Grand Prix,,1985-07-07 00:00:00,63,7
412,British Grand Prix,,1985-07-21 00:00:00,63,8
413,German Grand Prix,,1985-08-04 00:00:00,63,9
414,Austrian Grand Prix,,1985-08-18 00:00:00,52,10
415,Dutch Grand Prix,,1985-08-25 00:00:00,70,11
416,Italian Grand Prix,,1985-09-08 00:00:00,70,12
417,Belgian Grand Prix,,1985-09-15 00:00:00,70,13
418,European Grand Prix,,1985-10-06 00:00:00,75,14
419,South African Grand Prix,,1985-10-19 00:00:00,75,15
420,Australian Grand Prix,,1985-11-03 00:00:00,75,16
421,Brazilian Grand Prix,,1986-03-23 00:00:00,61,1
422,Spanish Grand Prix,,1986-04-13 00:00:00,72,2
423,San Marino Grand Prix,,1986-04-27 00:00:00,72,3
424,Monaco Grand Prix,,1986-05-11 00:00:00,72,4
425,Belgian Grand Prix,,1986-05-25 00:00:00,72,5
426,Canadian Grand Prix,,1986-06-15 00:00:00,72,6
427,Detroit Grand Prix,,1986-06-22 00:00:00,63,7
428,French Grand Prix,,1986-07-06 00:00:00,80,8
429,British Grand Prix,,1986-07-13 00:00:00,80,9
430,German Grand Prix,,1986-07-27 00:00:00,80,10
431,Hungarian Grand Prix,,1986-08-10 00:00:00,80,11
432,Austrian Grand Prix,,1986-08-17 00:00:00,52,12
433,Italian Grand Prix,,1986-09-07 00:00:00,52,13
434,Portuguese Grand Prix,,1986-09-21 00:00:00,52,14
435,Mexican Grand Prix,,1986-10-12 00:00:00,52,15
436,Australian Grand Prix,,1986-10-26 00:00:00,82,16
437,Brazilian Grand Prix,,1987-04-12 00:00:00,61,1
438,San Marino Grand Prix,,1987-05-03 00:00:00,61,2
439,Belgian Grand Prix,,1987-05-17 00:00:00,61,3
440,Monaco Grand Prix,,1987-05-31 00:00:00,61,4
441,Detroit Grand Prix,,1987-06-21 00:00:00,63,5
442,French Grand Prix,,1987-07-05 00:00:00,80,6
443,British Grand Prix,,1987-07-12 00:00:00,80,7
444,German Grand Prix,,1987-07-26 00:00:00,80,8
445,Hungarian Grand Prix,,1987-08-09 00:00:00,76,9
446,Austrian Grand Prix,,1987-08-16 00:00:00,76,10
447,Italian Grand Prix,,1987-09-06 00:00:00,76,11
448,Portuguese Grand Prix,,1987-09-20 00:00:00,70,12
449,Spanish Grand Prix,,1987-09-27 00:00:00,72,13
450,Mexican Grand Prix,,1987-10-18 00:00:00,63,14
451,Japanese Grand Prix,,1987-11-01 00:00:00,51,15
452,Australian Grand Prix,,1987-11-15 00:00:00,51,16
453,Brazilian Grand Prix,,1988-04-03 00:00:00,60,1
454,San Marino Grand Prix,,1988-05-01 00:00:00,60,2
455,Monaco Grand Prix,,1988-05-15 00:00:00,60,3
456,Mexican Grand Prix,,1988-05-29 00:00:00,60,4
457,Canadian Grand Prix,,1988-06-12 00:00:00,69,5
458,Detroit Grand Prix,,1988-06-19 00:00:00,63,6
459,French Grand Prix,,1988-07-03 00:00:00,80,7
460,British Grand Prix,,1988-07-10 00:00:00,65,8
461,German Grand Prix,,1988-07-24 00:00:00,44,9
462,Hungarian Grand Prix,,1988-08-07 00:00:00,44,10
463,Belgian Grand Prix,,1988-08-28 00:00:00,44,11
464,Italian Grand Prix,,1988-09-11 00:00:00,51,12
465,Portuguese Grand Prix,,1988-09-25 00:00:00,51,13
